order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Passeriformes,Muscicapidae,AVIBASE-33B043D5,sunrob2,Sumatran Blue Robin,Myiomela sumatrana,https://birdsoftheworld.org/bow/species/sunrob2/,,,
Passeriformes,Pycnonotidae,AVIBASE-5AD8890F,sunbul1,Sumatran Bulbul,Ixos sumatranus,https://birdsoftheworld.org/bow/species/sunbul1/,,,
Passeriformes,Dicaeidae,AVIBASE-0BCE71E0,fibflo5,Sumatran Flowerpecker,Dicaeum beccarii,https://birdsoftheworld.org/bow/species/fibflo5/,,,
Passeriformes,Muscicapidae,AVIBASE-EED638F3,whbsho9,Sumatran Shortwing,Brachypteryx saturata,https://birdsoftheworld.org/bow/species/whbsho9/,,,
Passeriformes,Dicaeidae,AVIBASE-0EC4EDBB,blbflo3,Sumba Flowerpecker,Dicaeum wilhelminae,https://birdsoftheworld.org/bow/species/blbflo3/,,,
Passeriformes,Muscicapidae,AVIBASE-B136588C,flojuf1,Sumba Jungle Flycatcher,Eumyias stresemanni,https://birdsoftheworld.org/bow/species/flojuf1/,,,
Passeriformes,Turdidae,AVIBASE-58C08CDC,,Sunda Island Thrush,Turdus javanicus,https://birdsoftheworld.org/bow/species/sunist1/,,,
Passeriformes,Timaliidae,AVIBASE-AA735A3A,chbscb2,Sunda Scimitar Babbler,Pomatorhinus bornensis,https://birdsoftheworld.org/bow/species/chbscb2/,,,
Passeriformes,Rhipiduridae,AVIBASE-A8281232,arafan2,Supertramp Fantail,Rhipidura semicollaris,https://birdsoftheworld.org/bow/species/arafan2/,,,
Passeriformes,Passerellidae,AVIBASE-B0DF25DD,slabru2,Taczanowski's Brushfinch,Atlapetes taczanowskii,https://birdsoftheworld.org/bow/species/slabru2/,,,
Passeriformes,Muscicapidae,AVIBASE-F23554C4,whbbur3,Taiwan Bush Robin,Tarsiger formosanus,https://birdsoftheworld.org/bow/species/whbbur3/,,,
Passeriformes,Pellorneidae,AVIBASE-A14D3117,pabill3,Tanzanian Illadopsis,Illadopsis distans,https://birdsoftheworld.org/bow/species/pabill3/,,,
Passeriformes,Furnariidae,AVIBASE-3055F349,tapscy2,Tapajos Scythebill,Campylorhamphus probatus,https://birdsoftheworld.org/bow/species/tapscy2/,,,
Passeriformes,Sturnidae,AVIBASE-21D04F26,norsta1,Tasman Starling,Aplonis fusca,https://birdsoftheworld.org/bow/species/norsta1/,,,
Passeriformes,Sturnidae,AVIBASE-0DC9A072,cohmyn2,Tenggara Hill Myna,Gracula venerata,https://birdsoftheworld.org/bow/species/cohmyn2/,,,
Passeriformes,Monarchidae,AVIBASE-18D4C1C6,blypaf3,Tenggara Paradise Flycatcher,Terpsiphone floris,https://birdsoftheworld.org/bow/species/blypaf3/,,,
Passeriformes,Pachycephalidae,AVIBASE-7649BB13,,Tenggara Whistler,Pachycephala calliope,https://birdsoftheworld.org/bow/species/rubwhi1/,,,
Passeriformes,Campephagidae,AVIBASE-CEA09219,,Timor Cicadabird,Edolisoma timoriense,https://birdsoftheworld.org/bow/species/timcic1/,,,
Passeriformes,Dicaeidae,AVIBASE-F5D63C6F,blbflo4,Timor Flowerpecker,Dicaeum hanieli,https://birdsoftheworld.org/bow/species/blbflo4/,,,
Passeriformes,Nectariniidae,AVIBASE-4780F291,olbsun23,Tukangbesi Sunbird,Cinnyris infrenatus,https://birdsoftheworld.org/bow/species/olbsun23/,,,
Passeriformes,Tyrannidae,AVIBASE-73E3CD29,tropew2,Tumbes Pewee,Contopus punensis,https://birdsoftheworld.org/bow/species/tropew2/,,,
